region,ruta,nombre,extension,tamano_bytes,tamano_h,tipo_detectado,idioma,serie,volumen,numero,patron,autor_carpeta,autores,formato
AMERICANO,/Volumes/AMERICA/AMERICANO/9-11 Vol 1 Los Artistas Responden (Varios).cbr,9-11 Vol 1 Los Artistas Responden (Varios).cbr,.cbr,93109181,88.8 MB,desconocido,,9-11 Vol 1 Los Artistas Responden,,,solo_nombre,Varios,Varios,volumen
AMERICANO,/Volumes/AMERICA/AMERICANO/Zap El último comix (Varios).cbr,Zap El último comix (Varios).cbr,.cbr,130401434,124.4 MB,desconocido,,Zap El último comix,,,solo_nombre,Varios,Varios,obra_completa
AMERICANO,/Volumes/AMERICA/AMERICANO/A.J. Lieberman/Harvest #01-05 (A.J. Liberman).cbr,Harvest #01-05 (A.J. Liberman).cbr,.cbr,41557181,39.6 MB,desconocido,,Harvest #01-05,,,solo_nombre,A.J. Lieberman,A.J. Liberman,recopilatorio_rango
AMERICANO,/Volumes/AMERICA/AMERICANO/A.J. Lieberman/Term Life (A.J. Lieberman & Nick Thornborrow).cbr,Term Life (A.J. Lieberman & Nick Thornborrow).cbr,.cbr,88123176,84.0 MB,comic_americano,,Term Life,,,solo_nombre,A.J. Lieberman,A.J. Lieberman ; Nick Thornborrow,obra_completa
AMERICANO,/Volumes/AMERICA/AMERICANO/Aaron Duran/Temporada de brujas (Aaron Duran & Sara Soler)/Temporada de brujas (Aaron Duran & Sara Soler).cbr,Temporada de brujas (Aaron Duran & Sara Soler).cbr,.cbr,146791233,140.0 MB,desconocido,,Temporada de brujas,,,solo_nombre,Aaron Duran,Aaron Duran ; Sara Soler,obra_completa
AMERICANO,/Volumes/AMERICA/AMERICANO/Aaron Gillespie/Purgatori Vol.1 (Aaron Gillespie & Javier Garcia Miranda)/Purgatori Vol.1 #01 (Aaron Gillespie & Javier Garcia Miranda).cbr,Purgatori Vol.1 #01 (Aaron Gillespie & Javier Garcia Miranda).cbr,.cbr,65598498,62.6 MB,desconocido,,Purgatori Vol.1 #01,,,solo_nombre,Aaron Gillespie,Aaron Gillespie ; Javier Garcia Miranda,numero_suelto
AMERICANO,/Volumes/AMERICA/AMERICANO/Aaron Gillespie/Purgatori Vol.1 (Aaron Gillespie & Javier Garcia Miranda)/Purgatori Vol.1 #02 (Aaron Gillespie & Javier Garcia Miranda).cbr,Purgatori Vol.1 #02 (Aaron Gillespie & Javier Garcia Miranda).cbr,.cbr,56007504,53.4 MB,desconocido,,Purgatori Vol.1 #02,,,solo_nombre,Aaron Gillespie,Aaron Gillespie ; Javier Garcia Miranda,numero_suelto
AMERICANO,/Volumes/AMERICA/AMERICANO/Aaron Gillespie/Purgatori Vol.1 (Aaron Gillespie & Javier Garcia Miranda)/Purgatori Vol.1 #03 (Aaron Gillespie & Javier Garcia Miranda).cbr,Purgatori Vol.1 #03 (Aaron Gillespie & Javier Garcia Miranda).cbr,.cbr,57952507,55.3 MB,desconocido,,Purgatori Vol.1 #03,,,solo_nombre,Aaron Gillespie,Aaron Gillespie ; Javier Garcia Miranda,numero_suelto
AMERICANO,/Volumes/AMERICA/AMERICANO/Aaron Gillespie/Purgatori Vol.1 (Aaron Gillespie & Javier Garcia Miranda)/Purgatori Vol.1 #04 (Aaron Gillespie & Javier Garcia Miranda).cbr,Purgatori Vol.1 #04 (Aaron Gillespie & Javier Garcia Miranda).cbr,.cbr,71504980,68.2 MB,desconocido,,Purgatori Vol.1 #04,,,solo_nombre,Aaron Gillespie,Aaron Gillespie ; Javier Garcia Miranda,numero_suelto
AMERICANO,/Volumes/AMERICA/AMERICANO/Aaron Gillespie/Purgatori Vol.1 (Aaron Gillespie & Javier Garcia Miranda)/Purgatori Vol.1 #05 (Aaron Gillespie & Javier Garcia Miranda).cbr,Purgatori Vol.1 #05 (Aaron Gillespie & Javier Garcia Miranda).cbr,.cbr,54048765,51.5 MB,desconocido,,Purgatori Vol.1 #05,,,solo_nombre,Aaron Gillespie,Aaron Gillespie ; Javier Garcia Miranda,numero_suelto
